"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TOMAS.KOPECKY","2014-2015","FLA","R",64,145.33,0,0,0,0,0,0,1.22,0.5,32,201,-169,13.73,6.53,0,8,-8,0,0,2.34,12.72,-10.38,15.54,10.92,0,1,1,14,5.78,1.07,0.44,0,92.86,3.45,44.13,44.48,8.03,48.45,87.61
"TOMAS.NOSEK","2015-2016","DET","L",6,8.75,0,0,0,0,0,0,-0.01,-0.07,1,11,-10,8.33,-1.04,0,2,-2,0,0,0,1.1,-1.1,0,-11.11,0,0,0,1,6.86,0,0,NA,NA,20,33.56,41.07,8.57,44.98,88.05
"TOMAS.NOSEK","2016-2017","DET","L",11,2.33,0,0,0,0,0,0,0.01,0.26,1,5,-4,16.67,5.4,0,0,0,NA,NA,0.05,0.36,-0.31,12.2,1.19,0,0,0,0,0,0,0,NA,NA,0,6.1,35,11,50.39,90.4
"TOMAS.PLEKANEC","2013-2014","MTL","C",81,235.64,2,0,2,2,0.51,0.51,2.82,0.72,58,418,-360,12.18,-0.85,2,20,-18,9.09,-6.29,4.5,26.83,-22.33,14.36,-0.08,4,1,-3,33,8.4,1.86,0.47,10,95.12,2.63,48.95,42.47,13.33,48.54,88.34
"TOMAS.PLEKANEC","2014-2015","MTL","C",82,154.04,1,1,2,2,0.78,0.78,2.49,0.97,53,238,-185,18.21,11.38,2,14,-12,12.5,1.79,3.42,18.43,-15.01,15.65,7.68,2,1,-1,22,8.57,1.92,0.75,7.14,95.11,7.14,36.01,37.9,9.54,46.68,88.08
"TOMAS.PLEKANEC","2015-2016","MTL","C",81,127.3,0,0,0,0,0,0,1.41,0.66,27,198,-171,12,-2.14,2,16,-14,11.11,-5.11,2.37,16.18,-13.81,12.78,-0.31,0,2,2,13,6.13,1.26,0.59,0,95.43,2.96,31.99,37.6,15.1,49.26,88.91
"TOMAS.PLEKANEC","2016-2017","MTL","C",78,150.32,2,0,2,2,0.8,0.8,1.82,0.73,28,248,-220,10.14,0.22,2,23,-21,8,-3.11,2.27,17.29,-15.02,11.61,3.69,1,1,0,11,4.39,0.99,0.4,28.57,93.8,4,39.13,41.02,11.38,47.97,88.95
"TOMAS.TATAR","2013-2014","DET","C",73,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"TOMAS.TATAR","2014-2015","DET","C",82,0.47,0,0,0,0,0,0,0,0,1,1,0,50,39.82,0,0,0,NA,NA,0.1,0.1,0,50,40.43,0,0,0,0,0,0,0,NA,NA,NA,0.1,33.57,7.14,42.92,84.55
"TOMAS.TATAR","2015-2016","DET","C",81,0.11,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0.03,14.29,11.43,30.51,86.44
"TOMAS.TATAR","2016-2017","DET","C",82,1.03,0,0,0,0,0,0,0,0,0,3,-3,0,-11.41,0,1,-1,0,-6.38,0,0.17,-0.17,0,-9.64,0,0,0,0,0,0,0,NA,NA,NA,0.27,31.94,10.65,41.59,87.81
"TOMAS.VINCOUR","2014-2015","COL","C",7,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"TOM.GILBERT","2013-2014","FLA","D",73,63.84,0,0,0,0,0,0,0.4,0.38,8,111,-103,6.72,-3.73,0,8,-8,0,-7.41,0.33,7.96,-7.63,3.98,-5.36,0,0,0,0,0,0,0,NA,88.06,4.55,18.12,33.67,11.4,44.76,88.89
"TOM.GILBERT","2014-2015","MTL","D",72,136.92,0,0,0,0,0,0,1.73,0.76,31,239,-208,11.48,1.6,2,13,-11,13.33,4.64,2.84,15.81,-12.97,15.23,7.43,0,1,1,1,0.44,0.02,0.01,0,97.88,8.74,37.14,33.13,14.7,43.67,87.56
"TOM.GILBERT","2015-2016","MTL","D",44,77.83,0,1,1,1,0.77,0.77,1.3,1,25,130,-105,16.13,0.87,5,12,-7,29.41,16.08,1.53,10.05,-8.52,13.21,-7,1,0,-1,1,0.77,0,0,NA,114.11,5.71,34.34,34.28,13.33,48.38,88.41
