"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"ANDREJ.NESTRASIL","2015-2016","CAR","C",55,70.64,2,1,3,2,2.55,1.7,3.08,2.62,132,7,125,94.96,2.2,7,1,6,87.5,-3.8,9.67,0.55,9.12,94.62,1.83,1,2,1,21,17.84,2.38,2.02,16.67,75.76,93.85,25.03,42.97,89.73,37.85,11.5
"ANDREJ.NESTRASIL","2016-2017","CAR","C",19,9.87,0,0,0,0,0,0,0.16,0.97,14,1,13,93.33,1.13,0,0,0,NA,NA,0.95,0.03,0.92,96.94,9.34,0,0,0,2,12.16,0.22,1.34,0,100,100,11.59,42.61,90.27,34.53,11.27
"ANDREJ.SEKERA","2013-2014","CAR","D",74,196.27,4,11,15,12,4.59,3.67,13.25,4.05,361,42,319,89.58,1.08,19,5,14,79.17,-6.55,23.92,3.73,20.19,86.51,-1.15,0,0,0,79,24.15,2.18,0.67,10,92.09,96.47,47.61,42.78,87.36,37.72,11.62
"ANDREJ.SEKERA","2014-2015","CAR/L.A","D",73,131.14,1,4,5,3,2.29,1.37,4.62,2.11,186,28,158,86.92,-4.53,10,1,9,90.91,-1.95,11.19,1.54,9.65,87.9,-4.44,0,0,0,45,20.59,1.42,0.65,5.88,106.9,96.03,38.15,42.03,89.88,36.52,12.65
"ANDREJ.SEKERA","2015-2016","EDM","D",81,186.04,2,11,13,9,4.19,2.9,12.08,3.9,320,38,282,89.39,2.96,23,2,21,92,10.18,22.63,3.48,19.15,86.67,2.12,0,0,0,111,35.8,2.75,0.89,4.44,106.31,92.5,46.86,44.04,86.19,37.49,11.29
"ANDREJ.SEKERA","2016-2017","EDM","D",80,174.52,2,10,12,4,4.13,1.38,10.1,3.47,326,37,289,89.81,-2.87,21,2,19,91.3,-0.12,24.21,3.35,20.86,87.84,-5.15,0,0,0,83,28.54,2.14,0.74,5.56,104.07,93.24,44.38,47.27,92.67,38.6,11.29
"ANDREJ.SUSTR","2013-2014","T.B","D",43,3.39,0,0,0,0,0,0,0,0,3,2,1,60,-25.75,0,0,0,NA,NA,0.24,0.03,0.21,88.89,6.09,0,0,0,0,0,0,0,NA,100,80,1.44,39.73,85.17,32.91,15.68
"ANDREJ.SUSTR","2014-2015","T.B","D",72,6.2,0,1,1,0,9.68,0,0.6,5.81,7,3,4,70,-17.74,1,0,1,100,10.87,0.18,0.19,-0.01,48.65,-39.96,0,0,0,0,0,0,0,NA,125,80,1.52,28.87,86.98,29.52,12.42
"ANDREJ.SUSTR","2015-2016","T.B","D",77,4.47,0,0,0,0,0,0,0,0,7,0,7,100,11.54,0,0,0,NA,NA,0.43,0,0.43,100,9.65,0,0,0,1,13.42,0.03,0.4,NA,NA,80,1.01,27.53,88.08,35.2,11.19
"ANDREJ.SUSTR","2016-2017","T.B","D",80,4.27,0,0,0,0,0,0,0,0,3,2,1,60,-30.31,0,1,-1,0,-91.94,0.12,0.16,-0.04,42.86,-48.53,0,0,0,0,0,0,0,NA,50,66.67,1.03,25.25,88.34,35.03,13.12
"ANDREW.AGOZZINO","2014-2015","COL","L",1,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"ANDREW.AGOZZINO","2015-2016","COL","L",9,2.27,0,1,1,0,26.43,0,0.56,14.8,3,1,2,75,-12.95,1,0,1,100,50,0.1,0.02,0.08,83.33,-2.38,0,0,0,0,0,0,0,NA,150,100,4.66,22.93,89.42,30.98,13.89
"ANDREW.ALBERTS","2013-2014","VAN","D",9,0.13,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,100,0.3,28.3,88.68,20.75,18.87
"ANDREW.BODNARCHUK","2015-2016","CBJ/COL","D",37,2.18,0,0,0,0,0,0,0,0,2,0,2,100,10.32,1,0,1,100,15.79,0.39,0,0.39,100,12.89,0,0,0,0,0,0,0,NA,NA,100,1.25,40.55,86.25,32.3,8.82
"ANDREW.CAMPBELL","2013-2014","L.A","D",3,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"ANDREW.CAMPBELL","2014-2015","ARI","D",33,0.27,0,0,0,0,0,0,0,0,1,0,1,100,11.85,0,0,0,NA,NA,0.12,0,0.12,100,12.84,0,0,0,0,0,0,0,NA,NA,100,0.2,20.62,88.66,29.91,19.63
"ANDREW.CAMPBELL","2015-2016","TOR","D",6,0.05,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,0,0.22,5,55,25,15
"ANDREW.COGLIANO","2013-2014","ANA","C",82,18.04,0,0,0,0,0,0,0.24,0.8,20,4,16,83.33,-5.48,0,1,-1,0,-85.71,1.2,0.15,1.05,88.89,-2.74,0,0,0,5,16.63,0.52,1.73,0,50,80.95,4,25.14,79.99,33.82,10.33
"ANDREW.COGLIANO","2014-2015","ANA","C",82,5.93,0,0,0,0,0,0,-0.02,-0.2,7,2,5,77.78,-11.7,0,0,0,NA,NA,0.4,0.14,0.26,74.07,-15.55,0,0,0,0,0,0,0,NA,100,93.33,1.54,24.4,88.87,29.41,13.11
"ANDREW.COGLIANO","2015-2016","ANA","C",82,5.51,0,0,0,0,0,0,-0.01,-0.11,6,3,3,66.67,-25.66,0,0,0,NA,NA,0.12,0.07,0.05,63.16,-30.49,0,0,0,2,21.78,0,0,NA,100,75,1.41,28.88,90.57,28.38,16.23
"ANDREW.COGLIANO","2016-2017","ANA","C",82,6.17,0,0,0,0,0,0,0.08,0.78,12,1,11,92.31,3.41,0,0,0,NA,NA,0.95,0.03,0.92,96.94,7.08,0,0,0,1,9.72,0.39,3.79,0,NA,57.14,1.51,35.67,87.68,31.17,11.31
"ANDREW.COPP","2014-2015","WPG","C",1,0.57,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,8.51,14.1,93.39,21.15,7.05
"ANDREW.COPP","2015-2016","WPG","C",77,2.45,0,0,0,0,0,0,0,0,4,0,4,100,11.3,0,0,0,NA,NA,0.08,0,0.08,100,12.7,0,0,0,1,24.49,0,0,NA,NA,100,0.61,21.63,86.33,28.57,10.1
"ANDREW.COPP","2016-2017","WPG","C",64,9.12,0,0,0,0,0,0,0.01,0.07,14,1,13,93.33,7.1,0,0,0,NA,NA,0.9,0.02,0.88,97.83,9.96,0,0,0,2,13.16,0.2,1.32,NA,100,100,2.86,37.92,82.62,35.59,12.45
"ANDREW.DESJARDINS","2013-2014","S.J","C",81,4.95,0,0,0,0,0,0,0.08,0.97,8,0,8,100,11.02,0,0,0,NA,NA,0.34,0,0.34,100,8.81,0,0,0,1,12.12,0.09,1.09,0,NA,80,1.07,18.54,81.1,33.43,14.04
"ANDREW.DESJARDINS","2014-2015","S.J/CHI","C",69,2.88,0,0,0,0,0,0,0.08,1.67,5,0,5,100,12.18,1,0,1,100,11.63,0.38,0,0.38,100,11.85,0,0,0,1,20.83,0.02,0.42,0,NA,87.5,0.87,20.12,68.08,27.93,13.53
"ANDREW.DESJARDINS","2015-2016","CHI","C",77,6.4,0,0,0,0,0,0,0.03,0.28,10,0,10,100,9.11,0,0,0,NA,NA,0.75,0,0.75,100,8.83,0,0,0,0,0,0,0,NA,NA,77.78,1.7,30.16,91.88,39.91,10.85
"ANDREW.DESJARDINS","2016-2017","CHI","C",46,0.15,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0.08,26.67,81.67,31.67,10
"ANDREW.EBBETT","2013-2014","PIT","C",9,4.35,0,0,0,0,0,0,0.08,1.1,8,1,7,88.89,2.59,0,0,0,NA,NA,0.49,0.03,0.46,94.23,11.21,0,0,0,1,13.79,0.03,0.41,0,100,66.67,11.87,31.67,90.4,36.21,9.89
"ANDREW.EBBETT","2014-2015","PIT","C",24,1.2,0,0,0,0,0,0,0.01,0.5,2,0,2,100,11.16,0,0,0,NA,NA,0.08,0,0.08,100,14.94,0,0,0,0,0,0,0,NA,NA,66.67,0.96,21.67,87.5,31.25,13.33
"ANDREW.FERENCE","2013-2014","EDM","D",71,26.09,0,2,2,0,4.6,0,1.18,2.71,28,10,18,73.68,-12.96,2,1,1,66.67,-14.73,1.61,0.3,1.31,84.29,-2.02,0,0,0,5,11.5,0.06,0.14,0,101.1,80.95,6.59,41.86,85.06,36.1,12.59
"ANDREW.FERENCE","2014-2015","EDM","D",70,6.16,0,0,0,0,0,0,0.16,1.56,6,0,6,100,8.99,1,0,1,100,16.28,0.18,0,0.18,100,9.45,0,0,0,2,19.48,0.07,0.68,0,NA,87.5,1.79,37.75,89.29,33.29,13.18
"ANDREW.FERENCE","2015-2016","EDM","D",6,0.22,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0.54,40.23,90.8,40.23,13.79
"ANDREW.LADD","2013-2014","WPG","L",78,209.82,4,8,12,9,3.43,2.57,10.17,2.91,366,46,320,88.83,-1.97,24,3,21,88.89,8.89,27.25,2.28,24.97,92.28,3.71,3,2,-1,51,14.58,4.49,1.28,13.79,103.51,95.48,51.69,52.64,89.68,38.26,11.2
"ANDREW.LADD","2014-2015","WPG","L",81,252.64,9,10,19,13,4.51,3.09,16.6,3.94,484,54,430,89.96,4.52,32,1,31,96.97,2.85,35.94,3.93,32.01,90.14,0.88,3,3,0,85,20.19,9.77,2.32,18.37,110.53,92.64,56.94,55.3,84.53,39.08,11.25
